name,pre_mode,label,score,top,left,bottom,right
195.jpg,B,smoke,0.96,461,30,805,686
196.jpg,B,smoke,0.59,358,841,751,1300
197.jpg,B,smoke,0.40,0,0,395,269
198.jpg,B,smoke,0.94,0,55,1144,605
199.jpg,B,smoke,0.88,0,793,1064,1546
2.jpg,B,smoke,0.64,376,0,689,1054
20.jpg,B,smoke,0.52,0,88,296,662
200.jpg,B,smoke,0.74,0,206,996,1600
201.jpg,B,smoke,0.99,7,40,252,605
202.jpg,B,smoke,0.72,44,0,601,1176
203.jpg,B,smoke,0.96,461,30,805,686
204.jpg,B,smoke,0.89,0,41,147,420
205.jpg,B,smoke,0.52,190,0,486,1189
206.jpg,B,smoke,0.47,127,14,668,818
207.jpg,B,smoke,0.97,85,390,309,590
208.jpg,B,smoke,0.45,134,0,196,207
209.jpg,B,smoke,0.96,5,0,327,434
21.jpg,B,smoke,0.52,168,122,317,586
210.jpg,B,smoke,0.77,0,0,411,551
211.jpg,B,smoke,0.94,271,286,371,785
212.jpg,B,smoke,0.84,17,0,359,462
213.jpg,B,smoke,0.76,82,23,402,467
214.jpg,B,smoke,0.86,38,279,489,853
215.jpg,B,smoke,0.73,134,42,429,930
216.jpg,B,smoke,0.74,103,534,313,803
217.jpg,B,smoke,0.56,61,181,170,261
22.jpg,B,smoke,0.43,187,4,529,187
220.jpg,B,smoke,0.37,242,240,304,482
221.jpg,B,smoke,0.33,57,1,104,89
222.jpg,B,smoke,0.69,13,55,275,199
223.jpg,B,None,None,None,None,None,None
225.jpg,B,smoke,0.75,175,271,228,499
226.jpg,B,smoke,0.93,68,5,389,1221
227.jpg,B,smoke,0.57,299,11,467,470
228.jpg,B,smoke,0.83,0,418,559,1223
229.jpg,B,smoke,0.94,0,17,733,1228
23.jpg,B,None,None,None,None,None,None
230.jpg,B,smoke,0.71,66,58,303,587
231.jpg,B,smoke,0.71,215,386,367,808
232.jpg,B,smoke,0.73,86,4,630,474
233.jpg,B,smoke,0.59,0,78,311,640
234.jpg,B,smoke,0.86,0,51,542,997
235.jpg,B,smoke,0.96,0,2,829,591
236.jpg,B,smoke,0.88,0,17,368,582
237.jpg,B,smoke,0.93,85,76,313,600
238.jpg,B,smoke,0.77,19,0,388,549
239.jpg,B,smoke,0.92,0,525,1156,1328
24.jpg,B,None,None,None,None,None,None
240.jpg,B,smoke,0.39,164,231,764,1040
241.jpg,B,smoke,0.52,0,358,821,948
242.jpg,B,smoke,0.55,25,12,241,421
243.jpg,B,smoke,0.75,0,0,424,710
244.jpg,B,smoke,0.62,36,0,496,781
245.jpg,B,smoke,0.78,0,255,224,568
246.jpg,B,smoke,0.76,42,49,321,570
247.jpg,B,smoke,0.89,86,4,231,290
248.jpg,B,smoke,0.89,25,186,143,565
249.jpg,B,smoke,0.89,170,10,281,304
25.jpg,B,smoke,0.67,0,82,472,960
250.jpg,B,smoke,0.94,0,17,733,1228
251.jpg,B,smoke,0.93,68,5,389,1221
252.jpg,B,smoke,0.57,299,11,467,470
253.jpg,B,smoke,0.83,0,418,559,1223
254.jpg,B,smoke,0.94,0,17,733,1228
255.jpg,B,smoke,0.30,128,92,201,167
256.jpg,B,smoke,0.86,0,50,245,400
257.jpg,B,smoke,0.61,63,21,416,580
258.jpg,B,smoke,0.94,0,242,387,539
259.jpg,B,smoke,0.90,14,177,659,1024
26.jpg,B,smoke,0.72,0,85,272,660
260.jpg,B,smoke,0.83,1,115,106,564
261.jpg,B,smoke,0.76,42,49,321,570
262.jpg,B,smoke,0.78,0,255,224,568
263.jpg,B,smoke,0.89,86,4,231,290
264.jpg,B,smoke,0.89,25,186,143,565
265.jpg,B,smoke,0.56,13,203,382,574
266.jpg,B,smoke,0.94,271,286,371,785
267.jpg,B,smoke,0.62,36,0,496,781
268.jpg,B,smoke,0.90,14,177,659,1024
269.jpg,B,smoke,0.69,0,53,354,600
27.jpg,B,smoke,0.88,99,212,248,359
270.jpg,B,smoke,0.73,0,21,293,576
271.jpg,B,smoke,0.77,45,64,378,640
272.jpg,B,smoke,0.75,25,0,445,1039
273.jpg,B,smoke,0.95,0,162,484,1191
274.jpg,B,smoke,0.88,0,151,375,892
275.jpg,B,smoke,0.90,0,86,852,900
276.jpg,B,smoke,0.97,4,114,370,900
277.jpg,B,smoke,0.75,48,28,675,477
278.jpg,B,smoke,0.89,326,0,551,945
279.jpg,B,smoke,0.87,0,354,558,963
28.jpg,B,smoke,0.95,0,11,611,1013
280.jpg,B,smoke,0.95,0,11,611,1013
281.jpg,B,smoke,0.41,220,0,662,227
282.jpg,B,smoke,0.94,35,339,885,1509
283.jpg,B,smoke,0.75,215,0,962,584
284.jpg,B,smoke,0.93,78,267,273,518
285.jpg,B,smoke,0.97,169,11,611,408
286.jpg,B,smoke,0.36,0,369,704,1291
287.jpg,B,smoke,0.60,73,195,371,595
288.jpg,B,smoke,0.77,45,64,378,640
289.jpg,B,smoke,0.57,187,406,397,640
29.jpg,B,smoke,0.62,0,20,337,484
290.jpg,B,smoke,0.96,0,271,337,523
291.jpg,B,smoke,0.74,15,16,313,400
292.jpg,B,smoke,0.68,116,58,400,600
293.jpg,B,smoke,0.70,184,77,402,600
294.jpg,B,smoke,0.39,4,176,124,334
295.jpg,B,smoke,0.94,209,10,686,818
296.jpg,B,smoke,0.81,113,207,400,626
297.jpg,B,smoke,0.91,157,0,351,448
298.jpg,B,smoke,0.99,0,18,584,992
299.jpg,B,smoke,0.90,0,0,516,919
3.jpg,B,smoke,0.39,191,191,282,647
30.jpg,B,smoke,0.44,22,602,277,792
300.jpg,B,smoke,0.46,0,35,597,553
301.jpg,B,smoke,0.96,1,16,569,1014
302.jpg,B,smoke,0.41,220,0,662,227
303.jpg,B,smoke,0.93,0,0,372,902
304.jpg,B,smoke,0.94,0,68,599,958
305.jpg,B,smoke,0.94,0,143,588,1024
306.jpg,B,smoke,0.69,0,53,354,600
307.jpg,B,smoke,0.74,15,16,313,400
308.jpg,B,smoke,0.71,25,61,420,600
309.jpg,B,None,None,None,None,None,None
31.jpg,B,smoke,0.81,0,0,307,627
310.jpg,B,smoke,0.91,0,65,490,592
311.jpg,B,smoke,0.85,1,1,254,638
312.jpg,B,smoke,0.83,16,38,288,473
313.jpg,B,smoke,0.65,308,47,464,713
314.jpg,B,smoke,0.97,0,65,633,971
315.jpg,B,smoke,0.63,101,617,557,898
316.jpg,B,smoke,0.97,0,65,633,971
317.jpg,B,smoke,0.70,10,0,478,782
318.jpg,B,smoke,0.84,17,45,548,850
319.jpg,B,smoke,0.94,13,43,552,977
32.jpg,B,smoke,0.95,0,161,821,1300
320.jpg,B,smoke,0.43,162,180,357,641
321.jpg,B,smoke,0.73,0,21,293,576
322.jpg,B,smoke,0.85,380,55,536,311
323.jpg,B,smoke,0.67,0,13,233,351
324.jpg,B,smoke,0.92,0,160,661,1280
325.jpg,B,smoke,0.73,3,409,193,634
326.jpg,B,smoke,0.85,0,67,350,601
327.jpg,B,smoke,0.79,55,80,582,760
328.jpg,B,smoke,0.69,0,43,180,259
329.jpg,B,smoke,0.67,0,13,233,351
33.jpg,B,smoke,0.99,7,40,252,605
330.jpg,B,smoke,0.78,33,42,301,500
331.jpg,B,smoke,0.87,0,0,259,449
332.jpg,B,smoke,0.56,19,0,269,482
333.jpg,B,smoke,0.93,0,17,244,479
334.jpg,B,smoke,0.42,12,10,125,382
335.jpg,B,smoke,0.43,140,283,263,575
336.jpg,B,smoke,0.75,0,47,170,402
337.jpg,B,smoke,0.91,19,0,274,397
34.jpg,B,smoke,0.58,6,796,362,1171
346.jpg,B,smoke,0.51,249,223,353,313
347.jpg,B,smoke,0.44,0,75,339,991
348.jpg,B,smoke,0.93,52,0,454,921
349.jpg,B,smoke,0.93,68,5,389,1221
35.jpg,B,smoke,0.36,88,171,303,430
350.jpg,B,smoke,0.83,0,418,559,1223
351.jpg,B,smoke,0.94,0,17,733,1228
352.jpg,B,smoke,0.72,46,0,333,443
353.jpg,B,smoke,0.77,0,0,411,551
354.jpg,B,smoke,0.92,0,31,475,393
355.jpg,B,smoke,0.98,77,345,597,997
356.jpg,B,smoke,0.97,0,92,567,780
357.jpg,B,smoke,0.97,0,92,567,780
358.jpg,B,smoke,0.56,0,22,302,411
359.jpg,B,smoke,0.86,0,0,395,818
36.jpg,B,smoke,0.83,0,77,250,730
360.jpg,B,smoke,0.75,25,0,445,1039
361.jpg,B,smoke,0.34,150,100,264,380
362.jpg,B,smoke,0.71,25,61,420,600
363.jpg,B,smoke,0.86,42,0,359,528
364.jpg,B,smoke,0.81,23,0,369,541
365.jpg,B,smoke,0.77,45,64,378,640
366.jpg,B,smoke,0.85,33,42,337,561
367.jpg,B,smoke,0.63,4,0,415,948
368.jpg,B,smoke,0.56,0,47,448,743
369.jpg,B,smoke,0.60,73,195,371,595
37.jpg,B,smoke,0.50,0,92,334,660
370.jpg,B,smoke,0.77,136,399,274,596
372.jpg,B,smoke,0.50,105,339,786,1049
373.jpg,B,smoke,0.67,3,68,161,600
374.jpg,B,smoke,0.75,1,66,193,600
376.jpg,B,smoke,0.44,0,75,339,991
377.jpg,B,smoke,0.94,0,0,314,525
378.jpg,B,smoke,0.94,0,0,314,525
379.jpg,B,smoke,0.94,5,26,181,611
38.jpg,B,smoke,0.76,2,0,246,561
380.jpg,B,smoke,0.81,37,0,296,543
381.jpg,B,smoke,0.77,228,391,739,1158
382.jpg,B,smoke,0.92,0,94,560,1049
383.jpg,B,smoke,0.72,98,9,361,412
384.jpg,B,smoke,0.92,0,94,560,1049
385.jpg,B,smoke,0.47,65,159,189,374
386.jpg,B,smoke,0.33,73,0,392,571
387.jpg,B,smoke,0.94,209,10,686,818
388.jpg,B,smoke,0.81,113,207,400,626
389.jpg,B,smoke,0.96,0,271,337,523
39.jpg,B,smoke,0.81,0,0,307,627
390.jpg,B,smoke,0.66,43,0,403,550
392.jpg,B,smoke,0.88,0,0,665,923
393.jpg,B,smoke,0.39,90,4,381,512
394.jpg,B,smoke,0.95,0,162,484,1191
395.jpg,B,smoke,0.88,0,151,375,892
396.jpg,B,smoke,0.32,137,341,221,553
397.jpg,B,smoke,0.76,10,26,277,350
398.jpg,B,smoke,0.93,2,70,237,600
399.jpg,B,None,None,None,None,None,None
4.jpg,B,smoke,0.90,0,0,273,700
40.jpg,B,smoke,0.83,29,0,242,276
400.jpg,B,smoke,0.68,5,29,168,584
401.jpg,B,smoke,0.80,188,5,304,374
402.jpg,B,smoke,0.49,55,166,104,220
403.jpg,B,smoke,0.87,0,48,603,400
404.jpg,B,smoke,0.93,52,0,454,921
405.jpg,B,smoke,0.85,30,8,333,493
406.jpg,B,smoke,0.83,5,0,244,557
407.jpg,B,smoke,0.87,0,19,669,1020
408.jpg,B,smoke,0.77,14,77,193,441
409.jpg,B,None,None,None,None,None,None
41.jpg,B,smoke,0.90,14,226,464,557
410.jpg,B,None,None,None,None,None,None
411.jpg,B,smoke,0.97,76,274,256,509
412.jpg,B,smoke,0.49,151,5,304,310
413.jpg,B,smoke,0.75,19,2,167,245
414.jpg,B,smoke,0.97,29,283,265,627
415.jpg,B,smoke,0.31,73,0,163,163
416.jpg,B,smoke,0.92,146,439,266,580
417.jpg,B,smoke,0.45,62,0,266,316
418.jpg,B,smoke,0.93,154,0,361,691
419.jpg,B,smoke,0.32,9,491,206,637
42.jpg,B,smoke,0.36,88,171,303,430
420.jpg,B,smoke,0.70,27,0,397,695
421.jpg,B,smoke,0.64,133,6,263,268
422.jpg,B,smoke,0.48,109,32,304,709
426.jpg,B,smoke,0.45,149,5,221,61
427.jpg,B,smoke,0.53,130,471,376,630
43.jpg,B,smoke,0.95,114,667,251,976
430.jpg,B,smoke,0.97,121,35,451,333
431.jpg,B,smoke,0.58,17,0,236,240
432.jpg,B,smoke,0.59,165,531,299,636
433.jpg,B,smoke,0.91,0,0,333,451
434.jpg,B,smoke,1.00,359,232,534,925
435.jpg,B,smoke,0.90,0,86,852,900
436.jpg,B,smoke,0.83,85,0,434,544
437.jpg,B,smoke,0.66,185,483,309,549
438.jpg,B,smoke,0.96,90,278,181,376
439.jpg,B,smoke,0.70,64,15,387,399
44.jpg,B,smoke,0.72,0,1,153,249
440.jpg,B,smoke,0.91,0,0,393,530
441.jpg,B,smoke,0.89,4,59,449,543
442.jpg,B,smoke,0.83,85,0,434,544
443.jpg,B,smoke,0.85,16,0,364,545
444.jpg,B,smoke,0.77,0,0,329,534
445.jpg,B,smoke,0.84,17,0,359,462
446.jpg,B,smoke,0.92,0,525,1156,1328
447.jpg,B,smoke,0.97,4,114,370,900
448.jpg,B,smoke,0.78,44,59,300,401
449.jpg,B,smoke,0.81,23,0,369,541
45.jpg,B,smoke,0.95,0,16,385,928
450.jpg,B,smoke,0.77,228,391,739,1158
451.jpg,B,smoke,0.96,0,142,406,1012
452.jpg,B,smoke,0.94,209,10,686,818
453.jpg,B,smoke,0.76,0,22,297,577
454.jpg,B,smoke,0.96,0,20,672,481
455.jpg,B,smoke,0.93,1,287,399,660
456.jpg,B,smoke,0.86,42,0,359,528
457.jpg,B,smoke,0.87,0,354,558,963
458.jpg,B,smoke,0.95,0,11,611,1013
459.jpg,B,smoke,0.50,105,339,786,1049
46.jpg,B,smoke,0.81,0,0,307,627
460.jpg,B,smoke,0.75,11,27,277,349
462.jpg,B,smoke,0.87,0,19,669,1020
463.jpg,B,smoke,0.43,161,214,275,338
464.jpg,B,smoke,0.83,5,0,244,557
465.jpg,B,smoke,0.75,48,28,675,477
466.jpg,B,smoke,0.92,13,33,519,929
467.jpg,B,smoke,0.90,14,226,464,557
468.jpg,B,smoke,0.83,29,0,242,276
469.jpg,B,smoke,0.72,0,1,153,249
47.jpg,B,smoke,0.68,46,0,237,491
470.jpg,B,smoke,0.95,0,16,385,928
471.jpg,B,smoke,0.81,0,0,307,627
472.jpg,B,smoke,0.87,2,0,423,690
473.jpg,B,smoke,0.82,18,39,262,380
474.jpg,B,smoke,0.96,232,24,832,869
475.jpg,B,smoke,0.77,136,399,274,596
476.jpg,B,smoke,0.68,46,0,237,491
477.jpg,B,smoke,0.86,0,52,396,750
478.jpg,B,smoke,0.50,158,0,354,367
479.jpg,B,smoke,0.90,43,0,275,457
48.jpg,B,smoke,0.87,2,0,423,690
480.jpg,B,smoke,0.97,0,275,471,558
481.jpg,B,smoke,0.96,0,20,672,481
482.jpg,B,smoke,0.60,6,11,118,217
483.jpg,B,smoke,0.74,0,0,249,426
484.jpg,B,smoke,0.74,0,0,666,1081
485.jpg,B,smoke,0.75,19,2,167,245
486.jpg,B,smoke,0.71,115,369,213,477
487.jpg,B,smoke,0.96,461,30,805,686
488.jpg,B,smoke,0.40,0,0,395,269
489.jpg,B,smoke,0.88,0,793,1064,1546
49.jpg,B,smoke,0.86,0,52,396,750
490.jpg,B,smoke,0.74,0,206,996,1600
491.jpg,B,smoke,0.78,117,160,280,464
492.jpg,B,smoke,0.47,127,14,668,818
493.jpg,B,smoke,0.72,44,0,601,1176
494.jpg,B,smoke,0.59,358,841,751,1300
495.jpg,B,smoke,0.52,190,0,486,1189
496.jpg,B,smoke,0.97,85,390,309,590
497.jpg,B,smoke,0.89,326,0,551,945
498.jpg,B,smoke,0.94,35,339,885,1509
499.jpg,B,smoke,0.93,78,267,273,518
5.jpg,B,smoke,0.61,42,235,927,1600
50.jpg,B,smoke,0.82,18,39,262,380
500.jpg,B,smoke,0.96,0,271,337,523
501.jpg,B,smoke,0.86,356,35,694,822
502.jpg,B,smoke,0.77,55,37,382,986
503.jpg,B,smoke,0.69,156,1380,685,1655
504.jpg,B,smoke,0.38,423,1060,498,1186
505.jpg,B,smoke,0.62,572,514,681,727
506.jpg,B,smoke,0.93,349,24,669,826
507.jpg,B,smoke,0.70,300,322,468,589
508.jpg,B,smoke,0.96,60,8,1386,1494
509.jpg,B,smoke,0.38,113,314,290,413
51.jpg,B,smoke,0.50,158,0,354,367
510.jpg,B,smoke,0.57,291,844,359,1005
511.jpg,B,smoke,0.98,35,222,238,720
512.jpg,B,smoke,0.65,11,27,281,257
513.jpg,B,smoke,0.54,109,0,204,291
514.jpg,B,smoke,0.32,32,725,216,894
515.jpg,B,smoke,0.95,0,282,208,556
516.jpg,B,smoke,0.88,294,73,2596,5097
517.jpg,B,None,None,None,None,None,None
518.jpg,B,smoke,0.69,2,198,245,462
519.jpg,B,smoke,0.33,37,217,227,350
52.jpg,B,smoke,0.96,461,30,805,686
520.jpg,B,smoke,0.86,0,358,381,887
521.jpg,B,smoke,0.81,178,546,426,986
522.jpg,B,smoke,0.65,39,21,205,343
523.jpg,B,smoke,0.77,0,199,232,653
524.jpg,B,smoke,0.96,247,0,536,433
525.jpg,B,smoke,0.98,125,268,252,528
526.jpg,B,smoke,0.97,65,614,481,1144
527.jpg,B,smoke,0.52,7,28,306,374
528.jpg,B,smoke,0.60,0,23,47,322
53.jpg,B,smoke,0.96,232,24,832,869
54.jpg,B,smoke,0.31,6,502,269,1024
55.jpg,B,smoke,0.89,0,41,147,420
56.jpg,B,smoke,0.87,0,0,324,1010
57.jpg,B,smoke,0.90,43,0,275,457
58.jpg,B,smoke,0.96,232,24,832,869
59.jpg,B,smoke,0.86,42,0,359,528
6.jpg,B,smoke,0.94,0,55,1144,605
60.jpg,B,smoke,0.68,210,0,309,428
61.jpg,B,smoke,0.75,1,66,193,600
62.jpg,B,smoke,0.71,137,383,250,595
63.jpg,B,smoke,0.50,105,339,786,1049
64.jpg,B,smoke,0.88,8,46,652,989
65.jpg,B,smoke,0.40,88,167,183,274
66.jpg,B,smoke,0.92,72,256,249,495
67.jpg,B,smoke,0.77,136,399,274,596
68.jpg,B,smoke,0.79,16,131,376,554
69.jpg,B,smoke,0.72,98,9,361,412
7.jpg,B,smoke,0.89,36,0,402,548
70.jpg,B,smoke,0.73,270,100,759,1049
71.jpg,B,smoke,0.56,0,47,448,743
72.jpg,B,smoke,0.95,265,310,364,598
73.jpg,B,smoke,0.93,0,120,678,1280
74.jpg,B,smoke,0.43,0,72,340,993
75.jpg,B,smoke,0.97,0,275,471,558
76.jpg,B,smoke,0.94,5,26,181,611
77.jpg,B,smoke,0.60,73,195,371,595
78.jpg,B,smoke,0.96,0,20,672,481
79.jpg,B,smoke,0.83,0,7,366,591
8.jpg,B,smoke,0.59,87,657,393,1020
80.jpg,B,smoke,0.87,145,317,200,563
81.jpg,B,smoke,0.77,47,24,235,325
82.jpg,B,smoke,0.66,43,0,403,550
83.jpg,B,smoke,0.80,0,36,324,476
84.jpg,B,smoke,0.69,54,0,399,531
85.jpg,B,smoke,0.87,0,64,786,1138
86.jpg,B,smoke,0.88,214,81,302,260
87.jpg,B,smoke,0.60,6,11,118,217
88.jpg,B,smoke,0.86,13,151,214,440
89.jpg,B,smoke,0.54,254,0,410,686
9.jpg,B,smoke,0.71,237,273,297,390
90.jpg,B,smoke,0.99,116,451,294,853
91.jpg,B,smoke,0.94,5,26,181,611
92.jpg,B,smoke,0.87,0,19,669,1020
93.jpg,B,smoke,0.79,64,1,242,257
94.jpg,B,smoke,0.42,505,1118,784,1280
95.jpg,B,smoke,0.65,0,0,597,1147
96.jpg,B,smoke,0.88,0,0,801,1170
97.jpg,B,smoke,0.92,146,439,266,580
98.jpg,B,smoke,0.71,1,124,271,900
99.jpg,B,smoke,0.76,0,565,581,887
